interval,id,cell,entry,exit
4,14,1312,1211896319,1211896319
4,14,1273,1211896385,1211896385
4,14,1274,1211896439,1211896614
4,14,1235,1211896674,1211896674
4,14,1194,1211896735,1211896795
4,14,1153,1211896855,1211896855
4,14,1152,1211896915,1211897035
4,14,1153,1211897101,1211897101
4,14,1152,1211897155,1211897397
4,14,1153,1211897461,1211897517
4,14,1152,1211897577,1211897577
4,14,1192,1211897637,1211897637
4,14,1232,1211897697,1211897733
4,14,1273,1211897793,1211898034
4,14,1272,1211898094,1211898207
4,14,1273,1211898327,1211898327
4,14,1272,1211898387,1211898714
4,14,1273,1211898774,1211898774
4,14,1272,1211898808,1211898808
4,14,1233,1211898863,1211898863
4,14,1193,1211898889,1211898979
4,14,1152,1211899035,1211899035
4,14,1192,1211899094,1211899094
4,14,1150,1211899155,1211899155
4,14,1149,1211899220,1211899220
4,14,1108,1211899270,1211899270
4,14,1028,1211899330,1211899330
4,14,1029,1211899391,1211899391
4,14,1028,1211899453,1211899470
4,14,989,1211899530,1211899530
4,14,991,1211899590,1211899590
4,14,1072,1211899643,1211899643
4,14,1113,1211899701,1211899701
4,14,1114,1211899761,1211899761
4,14,1155,1211899800,1211899862
4,14,1195,1211899933,1211899933
4,14,1234,1211899982,1211899982
4,14,1274,1211900043,1211900043
4,14,1313,1211900103,1211900103
4,14,1353,1211900164,1211900164
4,14,1312,1211900224,1211900224
4,14,1311,1211900284,1211900284
4,14,1350,1211900344,1211900344
4,15,634,1211896971,1211897345
4,15,594,1211897406,1211897406
4,15,592,1211897466,1211897466
4,15,590,1211897510,1211897510
4,15,589,1211897570,1211897570
4,15,588,1211897630,1211897630
4,15,586,1211897690,1211897750
4,15,585,1211897811,1211897823
4,15,625,1211897883,1211897883
4,15,624,1211897948,1211897948
4,15,663,1211898004,1211898004
4,15,703,1211898040,1211898141
4,15,702,1211898206,1211898217
4,15,782,1211898305,1211898365
4,15,780,1211898417,1211898417
4,15,779,1211898488,1211898488
4,15,818,1211898540,1211898540
4,15,817,1211898603,1211898603
4,15,776,1211898663,1211898784
4,15,775,1211898846,1211898846
4,15,814,1211898887,1211898887
4,15,734,1211898950,1211899087
4,15,774,1211899147,1211899147
4,15,815,1211899207,1211899207
4,15,817,1211899269,1211899269
4,15,897,1211899336,1211899336
4,15,937,1211899446,1211899446
4,15,936,1211899511,1211899511
4,15,974,1211899569,1211899569
4,15,1014,1211899628,1211899628
4,15,1054,1211899683,1211899854
4,15,1014,1211899912,1211899912
4,15,974,1211899977,1211899977
4,15,1015,1211900070,1211900102
4,15,976,1211900162,1211900162
4,15,1017,1211900222,1211900222
4,15,1018,1211900283,1211900283
4,15,1020,1211900351,1211900351
4,16,634,1211889870,1211889931
4,16,592,1211889992,1211889992
4,16,791,1211890051,1211890051
4,16,871,1211890073,1211890073
4,16,910,1211890095,1211890095
4,16,911,1211890157,1211890215
4,16,832,1211890276,1211890457
4,16,833,1211890517,1211890517
4,16,753,1211890578,1211891015
4,16,793,1211891075,1211891075
4,16,834,1211891135,1211891135
4,16,715,1211891196,1211891196
4,16,514,1211891250,1211891250
4,16,312,1211891294,1211891294
4,16,153,1211891342,1211891342
4,16,193,1211892332,1211892332
4,16,391,1211892373,1211892373
4,16,592,1211892423,1211892423
4,16,712,1211892468,1211892468
4,16,791,1211892476,1211892476
4,16,790,1211892538,1211892538
4,16,750,1211892573,1211892573
4,16,751,1211892624,1211892624
4,16,791,1211892684,1211892684
4,16,911,1211892750,1211892750
4,16,952,1211892806,1211892806
4,16,993,1211892866,1211892866
4,16,1071,1211892926,1211892926
4,16,1111,1211892986,1211893046
4,16,1151,1211893060,1211893060
4,16,1111,1211893120,1211893120
4,16,1150,1211893180,1211893180
4,16,1190,1211893240,1211893240
4,16,1189,1211893301,1211893301
4,16,1148,1211893362,1211893362
4,16,1147,1211893422,1211893422
4,16,1107,1211893472,1211893825
4,16,1147,1211893883,1211893883
4,16,1187,1211893944,1211893944
4,16,1227,1211894005,1211894005
4,16,1266,1211894065,1211894065
4,16,1306,1211894130,1211894130
4,16,1305,1211894189,1211894189
4,16,1345,1211894217,1211894278
4,16,1343,1211894339,1211894339
4,16,1342,1211894395,1211894395
4,16,1303,1211894469,1211894481
4,16,1305,1211894534,1211894534
4,16,1265,1211894594,1211894594
4,16,1185,1211894654,1211894715
4,16,1146,1211894776,1211894776
4,16,1148,1211894837,1211894837
4,16,1191,1211894901,1211894901
4,16,1192,1211894948,1211894950
4,16,1190,1211895010,1211895041
4,16,1149,1211895101,1211895281
4,16,1148,1211895337,1211895397
4,16,1192,1211895457,1211895518
4,16,1153,1211895578,1211895578
4,16,1154,1211895638,1211895665
4,16,1194,1211895785,1211895785
4,16,1192,1211895851,1211895851
4,16,1151,1211895879,1211895879
4,16,1110,1211895906,1211895906
4,16,1150,1211895962,1211895962
4,16,1149,1211896022,1211896022
4,16,1107,1211896089,1211896689
4,16,1147,1211896750,1211896750
4,16,1148,1211896809,1211896809
4,16,1190,1211896872,1211896994
4,16,1191,1211897055,1211897107
4,16,1232,1211897168,1211897168
4,16,1231,1211897228,1211897228
4,16,1311,1211897289,1211897289
4,16,1350,1211897354,1211897354
4,16,1390,1211897409,1211897409
4,16,1391,1211897446,1211897447
4,16,1390,1211897507,1211897507
4,16,1429,1211897584,1211897632
4,16,1428,1211897702,1211897702
4,16,1467,1211897785,1211897785
4,16,1427,1211897828,1211897828
4,16,1428,1211897888,1211898501
4,16,1388,1211898561,1211898561
4,16,1350,1211898617,1211898617
4,16,1311,1211898667,1211898667
4,16,1272,1211898727,1211898727
4,16,1233,1211898792,1211898792
4,16,1274,1211898824,1211898825
4,16,1192,1211898886,1211898886
4,16,1151,1211898959,1211898959
4,16,1110,1211899011,1211899011
4,16,1150,1211899066,1211899066
4,16,1149,1211899128,1211899128
4,16,1147,1211899192,1211899215
4,16,1148,1211899260,1211899260
4,16,1147,1211899320,1211899369
4,16,1148,1211899429,1211899489
4,16,1068,1211899549,1211899549
4,16,1028,1211899609,1211899609
4,16,990,1211899674,1211899674
4,16,951,1211899729,1211899729
4,16,992,1211899789,1211899871
4,16,1031,1211899902,1211899981
4,16,1070,1211900023,1211900023
4,16,1110,1211900098,1211900098
4,16,1109,1211900143,1211900143
4,16,1150,1211900204,1211900204
4,16,1190,1211900263,1211900392
4,17,589,1211889652,1211889652
4,17,588,1211889712,1211889712
4,17,627,1211889773,1211889773
4,17,667,1211889833,1211889833
4,17,786,1211889897,1211889897
4,17,826,1211889933,1211889933
4,17,827,1211889990,1211889990
4,17,787,1211890054,1211890054
4,17,786,1211890110,1211890135
4,17,785,1211890179,1211890179
4,17,784,1211890239,1211890239
4,17,743,1211890299,1211890299
4,17,783,1211890360,1211890360
4,17,824,1211890411,1211890411
4,17,864,1211890475,1211890475
4,17,905,1211890531,1211890531
4,17,947,1211890594,1211890594
4,17,987,1211890651,1211890651
4,17,1027,1211890711,1211890711
4,17,1067,1211890796,1211890796
4,17,1066,1211890856,1211890856
4,17,1026,1211890916,1211890916
4,17,1025,1211890949,1211891045
4,17,984,1211891106,1211891106
4,17,985,1211891166,1211891166
4,17,984,1211891199,1211891261
4,17,982,1211891321,1211891321
4,17,942,1211891381,1211891381
4,17,902,1211891441,1211891441
4,17,901,1211891501,1211891501
4,17,899,1211891562,1211891562
4,17,898,1211891622,1211891622
4,17,857,1211891684,1211891717
4,17,817,1211891776,1211891776
4,17,776,1211891837,1211891837
4,17,775,1211891897,1211891897
4,17,774,1211891962,1211891962
4,17,773,1211892017,1211892017
4,17,772,1211892077,1211892077
4,17,771,1211892137,1211892497
4,17,770,1211892558,1211892558
4,17,810,1211892618,1211892618
4,17,890,1211892678,1211892678
4,17,928,1211892739,1211892739
4,17,926,1211892796,1211892828
4,17,966,1211892888,1211892888
4,17,1007,1211892950,1211892950
4,17,1049,1211892996,1211892996
4,17,1051,1211893056,1211893056
4,17,1053,1211893121,1211893176
4,17,1054,1211893237,1211893237
4,17,1058,1211893302,1211893302
4,17,1061,1211893361,1211893361
